2025-07-05 20:03:00 | INFO | logger_config.py:39 | 日志系统已初始化，日志文件: API\log\20250705\200300.log
2025-07-05 20:03:00 | INFO | service.py:31 | 模型位置: D:\00deeplearn\yolo11\【2】训练模型\cls\train_new\weights\best.pt
2025-07-05 20:03:00 | INFO | service.py:200 | 服务启动在端口: 5000
2025-07-05 20:03:12 | INFO | service.py:76 | 接收到请求 - 雪橇号码: 1378, 日期: 20250521
2025-07-05 20:03:12 | INFO | service.py:80 | 接收到图片数据
2025-07-05 20:03:14 | INFO | service.py:104 | .....................
2025-07-05 20:03:14 | DEBUG | service.py:105 | 模型所有类别: {0: 'C', 1: 'M', 2: 'S'}
2025-07-05 20:03:14 | INFO | service.py:106 | 检测类别结果: M
2025-07-05 20:03:14 | INFO | service.py:107 | ----------------------
2025-07-05 20:03:14 | INFO | service.py:143 | 图像处理完成，准备显示结果
2025-07-05 20:03:16 | INFO | db_utils.py:224 | MinIO客户端连接成功 - 端点: 127.0.0.1:9000
2025-07-05 20:03:16 | INFO | db_utils.py:310 | 图片已保存到MinIO - URL: http://127.0.0.1:9000/skidcls/2025/07/05/1378_20250521_fdac1226-43bf-4192-acd4-af592b7df0fd.jpg
2025-07-05 20:03:16 | INFO | db_utils.py:31 | 数据库localhost的skid连接成功
2025-07-05 20:03:16 | INFO | db_utils.py:68 | 检测结果已保存到数据库localhost的skid - 雪橇号: 1378, 类别: M, 时间: 2025-07-05 20:03:16, 图片地址: http://127.0.0.1:9000/skidcls/2025/07/05/1378_20250521_fdac1226-43bf-4192-acd4-af592b7df0fd.jpg
2025-07-05 20:03:16 | INFO | service.py:60 | 创建响应 - 状态码: 200, 消息: detection_success, 检测类别: M
2025-07-05 20:10:23 | INFO | service.py:76 | 接收到请求 - 雪橇号码: 1780, 日期: 20250521
2025-07-05 20:10:23 | INFO | service.py:80 | 接收到图片数据
2025-07-05 20:10:23 | INFO | service.py:104 | .....................
2025-07-05 20:10:23 | DEBUG | service.py:105 | 模型所有类别: {0: 'C', 1: 'M', 2: 'S'}
2025-07-05 20:10:23 | INFO | service.py:106 | 检测类别结果: M
2025-07-05 20:10:23 | INFO | service.py:107 | ----------------------
2025-07-05 20:10:23 | INFO | service.py:143 | 图像处理完成，准备显示结果
2025-07-05 20:10:26 | INFO | db_utils.py:224 | MinIO客户端连接成功 - 端点: 127.0.0.1:9000
2025-07-05 20:10:26 | INFO | db_utils.py:310 | 图片已保存到MinIO - URL: http://127.0.0.1:9000/skidcls/2025/07/05/1780_20250521_1e6cb686-2969-4807-9b3b-5c4c08f96408.jpg
2025-07-05 20:10:26 | INFO | db_utils.py:31 | 数据库localhost的skid连接成功
2025-07-05 20:10:26 | INFO | db_utils.py:68 | 检测结果已保存到数据库localhost的skid - 雪橇号: 1780, 类别: M, 时间: 2025-07-05 20:10:26, 图片地址: http://127.0.0.1:9000/skidcls/2025/07/05/1780_20250521_1e6cb686-2969-4807-9b3b-5c4c08f96408.jpg
2025-07-05 20:10:26 | INFO | service.py:60 | 创建响应 - 状态码: 200, 消息: detection_success, 检测类别: M
2025-07-05 20:15:32 | INFO | service.py:76 | 接收到请求 - 雪橇号码: 1780, 日期: 20250521
2025-07-05 20:15:32 | INFO | service.py:80 | 接收到图片数据
2025-07-05 20:15:32 | INFO | service.py:104 | .....................
2025-07-05 20:15:32 | DEBUG | service.py:105 | 模型所有类别: {0: 'C', 1: 'M', 2: 'S'}
2025-07-05 20:15:32 | INFO | service.py:106 | 检测类别结果: M
2025-07-05 20:15:32 | INFO | service.py:107 | ----------------------
2025-07-05 20:15:32 | INFO | service.py:143 | 图像处理完成，准备显示结果
2025-07-05 20:15:35 | INFO | db_utils.py:224 | MinIO客户端连接成功 - 端点: 127.0.0.1:9000
2025-07-05 20:15:35 | INFO | db_utils.py:310 | 图片已保存到MinIO - URL: http://127.0.0.1:9000/skidcls/2025/07/05/1780_20250521_18ed267f-8088-43ea-980b-018d90f02155.jpg
2025-07-05 20:15:35 | INFO | db_utils.py:31 | 数据库localhost的skid连接成功
2025-07-05 20:15:35 | INFO | db_utils.py:68 | 检测结果已保存到数据库localhost的skid - 雪橇号: 1780, 类别: M, 时间: 2025-07-05 20:15:35, 图片地址: http://127.0.0.1:9000/skidcls/2025/07/05/1780_20250521_18ed267f-8088-43ea-980b-018d90f02155.jpg
2025-07-05 20:15:35 | INFO | service.py:60 | 创建响应 - 状态码: 200, 消息: detection_success, 检测类别: M
